FIPS,x,y,caves,WNS,tau,area,sr,Hibernate,MaherWNS
19197,184345.3137,588279.6107,0,Inf,215.5555556,1506.21,7,4,Inf
20001,60746.86753,43448.44884,3,Inf,189,1310.02,9,5,Inf
20003,61376.06418,80274.90369,2,Inf,183.3333333,1519.67,9,5,Inf
20005,58222.67873,227598.0127,1,Inf,205.3,1100.25,9,6,Inf
20007,-235720.4033,-26683.88228,40,Inf,204.1666667,3011.4,10,6,Inf
20009,-237743.0554,113598.1012,0,Inf,212.4736842,2277.25,9,5,Inf
20011,100246.0873,40410.91411,5,Inf,179,1661.22,9,5,Inf
20013,36965.27455,260839.4676,0,Inf,220.3333333,1481.32,10,6,Inf
20015,-73172.81377,31839.65197,15,Inf,204.5,3748.89,9,5,Inf
20017,-52043.07016,90796.78894,7,Inf,207.25,1947.19,9,5,Inf
20019,-21577.74901,-39175.60977,10,Inf,198.6,1670,9,5,Inf
20021,101498.6258,-36451.02609,12,Inf,182.75,1531.28,9,5,Inf
20023,-486185.6464,270871.0126,1,Inf,252.25,2637.52,6,2,Inf
20025,-335737.9438,-22755.20129,0,Inf,212.65,2569.76,10,6,Inf
20027,-99492.17141,207907.304,2,Inf,213.5833333,1701.13,10,6,Inf
